Company Name,Social Media URL,Product/s,Product Description/Information
Lippincott,https://www.lippincott.com/,"Branding, Strategy, Design, Innovation","We create, grow and transform brands to shape businesses, disrupt industries and define generations."
Marsh McLennan Company,https://www.lippincott.com/terms-of-use/,Terms of Use,"Our Terms of Use detail the rules, responsibilities, and legal information associated with accessing and interacting with our platform. Review the terms."
